0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:25 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13952
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:34 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12463
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/StudentLogout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:53 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13955
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:27:00 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12463
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:30:09 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12484
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:32:50 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:32:50 +0530] "GET /TechCraft/media/software-engineer.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:32:53 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 15473
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:02 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Arrays&challenge=Positive-Negative+Sum HTTP/1.1" 200 41266
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:02 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:02 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:04 +0530] "GET /TechCraft/dazzlecode.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:07 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:10 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Design+Pattern HTTP/1.1" 200 11573
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:26 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Design+Pattern&challenge=Triangle+Pattern HTTP/1.1" 200 41103
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:26 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:33:26 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:35:05 +0530] "POST /TechCraft/SubmitCodingChallenge HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:35:05 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Design%20Pattern HTTP/1.1" 200 11625
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:35:17 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Design+Pattern&challenge=Triangle+Pattern HTTP/1.1" 200 41103
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:35:17 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:35:17 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:43:56 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:43:58 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Design+Pattern HTTP/1.1" 200 11625
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:03 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Design+Pattern&challenge=Triangle+Pattern HTTP/1.1" 200 41103
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:03 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:03 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:05 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:08 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Design+Pattern HTTP/1.1" 200 11625
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:17 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:20 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 15473
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:25 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Arrays&challenge=Largest+Difference HTTP/1.1" 200 41123
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:25 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:44:25 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:19 +0530] "POST /TechCraft/SubmitCodingChallenge HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:19 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 15525
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:27 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Arrays&challenge=Even-Odd+Array+Sum HTTP/1.1" 200 41280
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:27 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:27 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:43 +0530] "POST /TechCraft/SubmitCodingChallenge HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:45:43 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 15577
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:47:46 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12484
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:48:05 +0530] "GET /TechCraft/StudentLogout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:48:05 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:48:05 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:48:05 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:00:44 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13956
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:14 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11665
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:16 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 15682
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:23 +0530] "GET /TechCraft/codeCompiler.jsp?technology=Arrays&challenge=Largest+Difference HTTP/1.1" 200 41125
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:23 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:23 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:38 +0530] "POST /TechCraft/SubmitCodingChallenge HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:01:39 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 15734
0:0:0:0:0:0:0:1 - - [24/Apr/2024:23:23:13 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12490
